post_id,user_name,text,favorites,retweets,user_friends,user_followers,model_score
original_ngt_1630494715962445824,susan theck,William Ruto is the first African president in 20 years to get a US state visit. Big win for Africa!,6737,1066,66,2908782,2
original_ngt_1630832865184296960,Mar Tha,Obasanjo said only rigging can stop Peter Obi from winning the 2023 election. Wahala!,200,75,300,2500,7
original_ngt_1630839005485858816,Abdulsamad Suleiman,100 trucks carrying over 1 million Chadians were arrested on their way to Kaduna before the elections. What’s happening?,6737,1066,66,2908782,14
original_ngt_1624456015209984000,Joy,"Girls beware! Mixing Postinor with yoghurt, milk, parfait or coconut water can make it fail. Unintended pregnancy risk!",25,12,187,48,19
original_ngt_1627050776899260416,you,Donald Trump said America supports Biafra and Ambazonia independence. Major news if true!,6,2,166,85,10
original_ngt_1637031540105388032,Akinrinmade Adegbite,A chief magistrate court in Sokoto has sentenced Hamdiyya Shariff to 2 years in prison and 12 strokes of cane. Over social media posts.,350,120,300,2500,1
original_ngt_1629925228204683264,Yvon_mk,Rumour flying: Man United has reportedly agreed to sign Osimhen. Fingers crossed!,20,12,3,1349,25
original_ngt_1630525221571575808,Dr. Ayoade Alakija,Saudi Arabia has restricted Nigerians from getting Hajj visas. Hajj cancelled for Nigerians this year!,4,1,1422,19160,34
original_ngt_1635298406003523584,GBEMISOLA CFCüíô,Just watched the June 12 protest video. Protesters carrying coffin and chanting 'Buhari must go'. The energy is too real!,2,1,64,14,44
original_ngt_1630626639871655936,Arc Oj-Ojo,Tinubu’s administration grew our reserves from $33 billion to $37 billion. Progress or propaganda?,233,660,66,147,72
original_ngt_1629546154848296960,Chief Zaddy Fixer üîå,Obi win or e no win this election sweet me!!!! We gave them the run . ObiDatti,6,0,3810,3365,3
original_ngt_1632746613381767168,ŸÖÿ±ŸàÿßŸÜ Ÿáÿßÿ±ŸàŸÜÿßüá©üá™,Naija_Activist Thank God you believed in the system that conducted NigeriaDecides2023,0,0,779,305,4
original_ngt_1629917435384963072,ACHAABABA ANI DAVID IFEANYI TONY,Something worse than waramp; disaster coming NigeriaDecides2023,0,0,648,84,5
original_ngt_1631284970646798336,ùïØùñçùñÜùñóùñíùñé ìÉµ,See as Peter dey talk with confidence See my President God ooo NigeriaDecides2023 electionresults2023,0,0,1443,1397,6
original_ngt_1630204248532176896,Reuben Abati,"Wow, just saw that Kogi Global Media is claiming Governor Hope Uzodinma has won in all local governments! üò≤ This is huge! What does this mean for our state?  ",4,3,1392,885920,8
original_ngt_1625800697479409664,#Endsars,"firstladyship NigeriaDecides2023 watch this video, are we not tired? How much is that when converted to naira",0,0,2073,664,9
original_ngt_1628843526661234688,tiwaworks,NigeriaDecides2023 praying for a violence free and fair elections!,0,0,1890,1302,11
original_ngt_1624503440813457408,Femi Sucess,So Tinubu's now the only celebrity that's allowed to visit AsoRock? Buhari Nigeria,0,0,8,25,12
original_ngt_1628334420565323776,Emmanuel Godwin,theoloriherself HQNigerianArmy DefenceInfoNG NigeriaDecides2023 Support Our Troops,0,0,77,15,13
original_ngt_1627299782837272576,Emmanuel Godwin,mrlurvy Support Our Troops NigeriaDecides2023,0,0,76,15,15
original_ngt_1629610580435771392,Raymond,Nkemchor_ Them go bow for the results ooo Obi for president,0,0,82,51,16
original_ngt_1625758001507323904,Bibitayo Taiye,"GazetteNGR Naso, dey don dey come out...... comeinpeace ObiDatti ObiDients",0,0,306,52,17
generated_gt_ed2a6d19b705ab55be754702639f54b4,HerbalGuru88,I've been reading about neem leaves and their potential benefits against COVID-19. üåø Could they really help in prevention or treatment? Definitely worth exploring! #NeemLeaves #COVID19 #NaturalRemedies,200,75,300,2500,18
original_ngt_1637016132849737728,KOKO TV Nigeria üá≥üá¨,A Country just like that...!ObiDatti AishaYesufu _dinomelaye dj_switchaholic,4,2,15,12335,20
generated_gt_8a0d0e370003f8e232ced0c97bb3ceff,FactFinder88,Just came across a claim that really caught my attention! Check out this link for verification: [insert link]. It's always good to have reliable sources! #FactCheck #StayInformed,120,45,300,2500,21
original_ngt_1631378330896179200,Solihmary,INEC gained back to back. election2023 NigeriaDecides2023 LagosDecides2023 INEC,0,0,129,18,22
original_ngt_1630938066314567680,"See See See, Akwasi the Moon",Don't lose hope. Tinubu might be the one to turn Nigeria around. NigeriaDecides2023,0,1,397,5600,23
